descripcion
"No deberá darse al predio, ni a la edificación un uso distinto al autorizado, en caso de requerir cambiar los términos de la Autorización de Uso de Suelo, deberá realizar un nuevo trámite para la obtención de la nueva autorización correspondiente",
"Deberá de solicitar permiso para la colocación de anuncios en la fachada de su comercio, de acuerdo a los Artículos 6 y 8 del Reglamento de Anuncios para el Municipio de La Paz, BCS",
"Antes de ocupar la Vía Pública para Actividad Comercial, habrá de tramitar el Permiso correspondiente en la Dirección de Comercio Municipal",
"Cumplir con los cajones de estacionamiento de acuerdo al Reglamento de Construcciones para el Estado de Baja California Sur",
"No deberá exceder los límites permisibles de sonido establecidos en la Norma Oficial Mexicana Ecol-1994 SEMARNAT",
"Queda prohibido instalar cualquier tipo de anuncio u obstrucción en la vía pública",
"Sujeto a estudio de riesgo y/o autorización de Protección Civil",
"Sujeto a dictamen por parte de la Dirección de ecología municipal",
"Queda prohibida música en vivo de cualquier tipo",
"Deberá tener contrato de policía comercial por parte de Seguridad pública",
"Deberá respetar el horario establecido por la Dirección de Comercio municipal",
"Sujeto a anuencia vecinal, o bien de sus colindantes",
"Sujeto a  factibilidad vial",
"Queda prohibido utilizar la vía publica para actividades relacionadas con su giro",
